filename,r2,rmse,season,fractional_forest_cover,condition,region,checkpoint_name,month
LC09_20220601_FSC59_62.29983021691086_-128.74762367403633.tif,0.9756691324384192,0.0745406076312065,late,0.3765,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC5_63.021609781521185_-127.68185175099063.tif,0.8450915941313055,0.0846663564443588,late,0.233,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC61_62.30860388321177_-129.39479937662207.tif,0.6274497351229891,0.2280178219079971,late,0.8949,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC61_62.48608348288503_-128.55665171609402.tif,0.919819801048246,0.1305482685565948,late,0.1922,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC62_62.35381857497002_-128.77134570424923.tif,0.9713125943154096,0.0783342719078064,late,0.7293,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC62_63.17014748334218_-128.7911269764369.tif,0.959570573691198,0.0901864320039749,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC64_63.30135307125528_-127.32590241481026.tif,0.921356853359519,0.1151444539427757,late,0.0001,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC68_62.77450789728474_-126.26765302202854.tif,0.6187418573747603,0.2475320994853973,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC69_62.15404727480383_-127.6682412961466.tif,0.8577932072391328,0.1540712863206863,late,0.0198,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC69_62.28750827346057_-127.55036179098144.tif,0.9308702102119024,0.1077234596014022,late,0.1572,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC69_63.10264483443739_-128.6808488391414.tif,0.6671609522066337,0.2504051327705383,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC69_63.44963478721378_-128.4948818399446.tif,0.9534498927577522,0.0888160914182663,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC6_63.11318455229443_-126.26079065801845.tif,0.8494495280373545,0.0893527269363403,late,0.1075,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC71_63.08601465211459_-127.90915646508242.tif,0.9100761602235632,0.1254734396934509,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC72_62.42795420313293_-125.7898299785367.tif,0.9525268191493051,0.088447093963623,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC72_63.13143444638869_-127.94900394447447.tif,0.9365981914729876,0.1029014885425567,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC73_62.64071420823604_-128.27467148222166.tif,0.9082473945443584,0.1233984977006912,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC73_63.18882352214192_-128.27951638984834.tif,0.901146155487369,0.1188670992851257,late,0.0002,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC74_62.9162699629429_-128.22175968101220.tif,0.8256002811186681,0.1755626499652862,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC75_62.59323176596894_-125.85500696765789.tif,0.871574944066101,0.1377018988132476,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC76_62.39291991204259_-126.74265362639146.tif,0.6722960280510462,0.2075336128473281,late,0.0082,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC78_63.251524892555594_-127.85739953998247.tif,0.9319453074523008,0.0931334272027015,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC78_63.34577762542946_-128.3661343700713.tif,0.8311953362341142,0.150410458445549,late,0.0,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC7_62.537254091693185_-128.01822342742165.tif,0.7281168759775722,0.130388855934143,late,0.6604,clear_1y17j4tq_with,rockies,seasons,06
LC09_20220601_FSC81_63.37800130486614_-128.3416492920158.tif,0.8952801546753558,0.1082528680562973,late,0.0038,clear_1y17j4tq_with,rockies,seasons,06
