cell_id,center_x,center_y,action
90,672863.8459204244,5728083.788334359,DROP
91,673863.8459204244,5675083.788334359,DROP
92,596863.8459204244,5699083.788334359,KEEP
93,603863.8459204244,5699083.788334359,KEEP
94,576863.8459204244,5753083.788334359,KEEP
95,613863.8459204244,5664083.788334359,KEEP
96,518863.84592042456,5692083.788334359,DROP
97,556863.8459204244,5609083.788334359,DROP
98,662863.8459204244,5728083.788334359,KEEP
99,658863.8459204244,5658083.788334359,KEEP
100,624863.8459204244,5660083.788334359,KEEP
101,622863.8459204244,5622083.788334359,KEEP
102,581863.8459204244,5611083.788334359,DROP
103,522863.84592042456,5724083.788334359,DROP
104,588863.8459204244,5613083.788334359,DROP
105,692863.8459204244,5712083.788334359,DROP
106,537863.8459204244,5612083.788334359,DROP
107,666863.8459204244,5751083.788334359,KEEP
108,521863.84592042456,5624083.788334359,DROP
109,635863.8459204244,5632083.788334359,KEEP
110,558863.8459204244,5714083.788334359,KEEP
111,525863.8459204244,5645083.788334359,DROP
112,580863.8459204244,5748083.788334359,KEEP
113,660863.8459204244,5608083.788334359,DROP
114,551863.8459204244,5690083.788334359,KEEP
115,518863.84592042456,5630083.788334359,DROP
116,686863.8459204244,5687083.788334359,DROP
117,565863.8459204244,5646083.788334359,KEEP
118,609863.8459204244,5714083.788334359,KEEP
119,553863.8459204244,5670083.788334359,KEEP
120,631863.8459204244,5720083.788334359,KEEP
121,644863.8459204244,5682083.788334359,KEEP
122,607863.8459204244,5642083.788334359,KEEP
123,655863.8459204244,5683083.788334359,KEEP
124,698863.8459204244,5747083.788334359,DROP
125,606863.8459204244,5653083.788334359,KEEP
126,646863.8459204244,5656083.788334359,KEEP
127,698863.8459204244,5652083.788334359,DROP
128,626863.8459204244,5650083.788334359,KEEP
129,672863.8459204244,5688083.788334359,DROP
130,694863.8459204244,5640083.788334359,DROP
131,520863.84592042456,5711083.788334359,DROP
132,618863.8459204244,5629083.788334359,KEEP
133,614863.8459204244,5714083.788334359,KEEP
134,533863.8459204244,5630083.788334359,KEEP
135,687863.8459204244,5651083.788334359,DROP
136,622863.8459204244,5654083.788334359,KEEP
137,524863.8459204244,5745083.788334359,DROP
138,563863.8459204244,5726083.788334359,KEEP
139,610863.8459204244,5741083.788334359,KEEP
140,662863.8459204244,5734083.788334359,KEEP
141,697863.8459204244,5728083.788334359,DROP
142,545863.8459204244,5753083.788334359,KEEP
143,532863.8459204244,5752083.788334359,KEEP
144,523863.8459204245,5617083.788334359,DROP
145,570863.8459204244,5617083.788334359,DROP
146,641863.8459204244,5711083.788334359,KEEP
147,637863.8459204244,5694083.788334359,KEEP
148,654863.8459204244,5745083.788334359,KEEP
149,618863.8459204244,5688083.788334359,KEEP
150,670863.8459204244,5758083.788334359,DROP
151,685863.8459204244,5725083.788334359,DROP
152,627863.8459204244,5624083.788334359,KEEP
153,568863.8459204244,5715083.788334359,KEEP
154,574863.8459204244,5741083.788334359,KEEP
155,613863.8459204244,5709083.788334359,KEEP
156,526863.8459204244,5645083.788334359,DROP
157,611863.8459204244,5664083.788334359,KEEP
158,631863.8459204244,5734083.788334359,KEEP
159,692863.8459204244,5645083.788334359,DROP
160,540863.8459204244,5629083.788334359,KEEP
161,612863.8459204244,5606083.788334359,DROP
162,699863.8459204244,5746083.788334359,DROP
163,639863.8459204244,5617083.788334359,DROP
164,541863.8459204244,5665083.788334359,KEEP
165,647863.8459204244,5705083.788334359,KEEP
166,558863.8459204244,5758083.788334359,KEEP
167,579863.8459204244,5756083.788334359,KEEP
168,668863.8459204244,5732083.788334359,KEEP
169,587863.8459204244,5665083.788334359,KEEP
170,671863.8459204244,5707083.788334359,DROP
171,546863.8459204244,5655083.788334359,KEEP
172,630863.8459204244,5625083.788334359,KEEP
173,700863.8459204244,5744083.788334359,DROP
174,580863.8459204244,5746083.788334359,KEEP
175,585863.8459204244,5629083.788334359,KEEP
176,533863.8459204244,5677083.788334359,KEEP
177,683863.8459204244,5678083.788334359,DROP
178,535863.8459204244,5639083.788334359,KEEP
179,665863.8459204244,5660083.788334359,KEEP
180,566863.8459204244,5727083.788334359,KEEP
181,589863.8459204244,5742083.788334359,KEEP
182,607863.8459204244,5638083.788334359,KEEP
183,692863.8459204244,5750083.788334359,DROP
184,635863.8459204244,5731083.788334359,KEEP
185,673863.8459204244,5637083.788334359,KEEP
186,613863.8459204244,5668083.788334359,KEEP
187,543863.8459204244,5741083.788334359,KEEP
188,589863.8459204244,5723083.788334359,KEEP
189,614863.8459204244,5606083.788334359,DROP
190,520863.84592042456,5648083.788334359,DROP
191,545863.8459204244,5727083.788334359,KEEP
192,683863.8459204244,5667083.788334359,DROP
193,591863.8459204244,5637083.788334359,KEEP
194,609863.8459204244,5612083.788334359,DROP
195,674863.8459204244,5682083.788334359,DROP
196,687863.8459204244,5641083.788334359,DROP
197,692863.8459204244,5633083.788334359,DROP
198,611863.8459204244,5709083.788334359,KEEP
199,632863.8459204244,5680083.788334359,KEEP
200,582863.8459204244,5655083.788334359,KEEP
201,577863.8459204244,5716083.788334359,KEEP
202,569863.8459204244,5667083.788334359,KEEP
203,613863.8459204244,5612083.788334359,DROP
